UMAP1,UMAP2,label
8.467058,4.8086395,intergenic
7.8875403,5.451873,intergenic
7.545142,5.6105795,intergenic
9.3605795,2.9446099,intergenic
9.945947,1.5290756,intergenic
9.879776,-0.3097565,intergenic
9.978956,-0.76757854,intergenic
9.950564,-1.0077119,intergenic
9.433963,-1.6739732,intergenic
9.884054,-0.6943936,intergenic
9.893493,-0.78824514,intergenic
9.867674,-0.7713133,intergenic
9.761855,-0.88669497,intergenic
9.8377905,-0.6768459,intergenic
9.610039,0.09551914,intergenic
9.912005,0.2544788,intergenic
9.963785,0.49097702,intergenic
10.161861,1.1691287,intergenic
10.253882,1.4616386,intergenic
10.029071,1.7383516,intergenic
7.8721924,5.7356067,intergenic
9.956738,2.245331,intergenic
10.108752,1.6338555,intergenic
10.142891,1.639475,intergenic
10.372158,1.9711372,intergenic
10.654887,2.7621868,intergenic
10.664543,2.4585402,intergenic
12.556486,1.6123329,intergenic
13.073306,0.94498354,intergenic
13.498541,0.53732413,intergenic
13.946444,0.55976385,intergenic
14.375568,0.74561733,intergenic
14.409524,0.9280976,intergenic
14.518656,0.9004259,intergenic
14.537526,0.9379238,intergenic
14.522045,0.8532799,intergenic
14.47068,0.81786734,intergenic
14.40697,0.8180624,intergenic
14.163389,1.2651703,intergenic
13.034748,3.099756,intergenic
12.577255,3.4095664,intergenic
10.911256,3.3977456,intergenic
9.044962,5.4530563,intergenic
9.044397,5.44378,intergenic
7.2911487,2.9257462,intergenic
7.7030973,2.593435,intergenic
8.120039,2.7828984,intergenic
8.817648,2.9277527,intergenic
9.508922,3.5116372,intergenic
9.011,5.4895997,intergenic
9.128443,5.5469675,intergenic
9.12118,5.490954,intergenic
7.477923,3.3698096,intergenic
8.604839,2.8111923,intergenic
8.08457,3.3218775,intergenic
8.374261,2.9588406,intergenic
8.095218,2.9546752,intergenic
8.259159,2.8524258,intergenic
7.241044,2.8107214,intergenic
5.95179,2.2492852,intergenic
3.1332345,2.3873703,intergenic
2.9598117,2.2209501,intergenic
0.5779701,3.7262642,intergenic
1.5731006,2.7092483,intergenic
2.1450355,2.8531284,intergenic
-0.1695919,5.8248,intergenic
0.46094805,6.3175893,intergenic
1.6945953,6.937405,intergenic
1.8117255,7.1784163,intergenic
1.8083061,6.970721,intergenic
1.7129136,6.6960974,intergenic
1.6647041,5.1994023,intergenic
3.195268,3.0399187,intergenic
3.0100255,2.5144422,intergenic
1.2344388,4.070226,intron
1.5522708,4.068926,intron
1.9283917,3.9955304,intron
2.1878672,4.346996,intron
2.2551067,4.3571506,intron
2.14988,4.3366294,intron
1.9107276,4.4510226,intron
1.4073892,4.3299694,intron
1.6168329,4.5550284,intron
1.4553751,6.5033712,intron
1.5500386,7.252761,intron
